param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
kmax,global,EFLX_LH_TOT_MEAN_global,1,EFLX_LH_TOT,mean,33.52229936479817,40.72951067813663,7.207211313338455
fff,global,EFLX_LH_TOT_MEAN_global,2,EFLX_LH_TOT,mean,34.477945440794,39.95244279340672,5.474497352612715
medlynslope,global,EFLX_LH_TOT_MEAN_global,3,EFLX_LH_TOT,mean,35.91208827790826,41.01082476856665,5.098736490658389
liq_canopy_storage_scalar,global,EFLX_LH_TOT_MEAN_global,4,EFLX_LH_TOT,mean,37.884432473703356,42.75621204456611,4.871779570862756
medlynintercept,global,EFLX_LH_TOT_MEAN_global,5,EFLX_LH_TOT,mean,38.45451364606178,43.204506973918654,4.749993327856878
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_MEAN_global,6,EFLX_LH_TOT,mean,36.19656666257371,40.44721038015773,4.250643717584019
krmax,global,EFLX_LH_TOT_MEAN_global,7,EFLX_LH_TOT,mean,36.63635804731574,39.7659968192895,3.1296387719737595
jmaxb0,global,EFLX_LH_TOT_MEAN_global,8,EFLX_LH_TOT,mean,36.97482520168192,39.89756359611209,2.9227383944301764
psi50,global,EFLX_LH_TOT_MEAN_global,9,EFLX_LH_TOT,mean,36.69205279168593,39.531307196576265,2.839254404890333
leafcn,global,EFLX_LH_TOT_MEAN_global,10,EFLX_LH_TOT,mean,39.918925255964794,37.10391136632027,2.8150138896445256
wc2wjb0,global,EFLX_LH_TOT_MEAN_global,11,EFLX_LH_TOT,mean,37.442038005903186,40.15670796397639,2.714669958073202
jmaxb1,global,EFLX_LH_TOT_MEAN_global,12,EFLX_LH_TOT,mean,36.55338391591179,39.248207389188025,2.6948234732762373
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_MEAN_global,13,EFLX_LH_TOT,mean,40.43686650727801,37.887025724654436,2.5498407826235763
cv,global,EFLX_LH_TOT_MEAN_global,14,EFLX_LH_TOT,mean,37.24608613694858,39.501058882470645,2.2549727455220676
theta_cj,global,EFLX_LH_TOT_MEAN_global,15,EFLX_LH_TOT,mean,36.903626019273716,39.01128856963671,2.1076625503629955
sand_pf,global,EFLX_LH_TOT_MEAN_global,16,EFLX_LH_TOT,mean,39.43408929641623,37.342668675863685,2.0914206205525474
dleaf,global,EFLX_LH_TOT_MEAN_global,17,EFLX_LH_TOT,mean,40.39811817548577,38.5626876763462,1.8354304991395693
d_max,global,EFLX_LH_TOT_MEAN_global,18,EFLX_LH_TOT,mean,38.941519006967475,37.15099609030581,1.790522916661665
FUN_fracfixers,global,EFLX_LH_TOT_MEAN_global,19,EFLX_LH_TOT,mean,37.69080959797144,39.386239282024064,1.6954296840526268
tpu25ratio,global,EFLX_LH_TOT_MEAN_global,20,EFLX_LH_TOT,mean,37.32051051753432,38.84577813603879,1.525267618504465
nstem,global,EFLX_LH_TOT_MEAN_global,21,EFLX_LH_TOT,mean,37.84417852901176,39.355189848114,1.511011319102245
leaf_long,global,EFLX_LH_TOT_MEAN_global,22,EFLX_LH_TOT,mean,37.72505713728052,38.99790435909271,1.2728472218121851
lmr_intercept_atkin,global,EFLX_LH_TOT_MEAN_global,23,EFLX_LH_TOT,mean,39.06878568895702,37.820424620222,1.2483610687350222
vcmaxhd,global,EFLX_LH_TOT_MEAN_global,24,EFLX_LH_TOT,mean,37.733007597722874,38.746021551924876,1.0130139542020018
kcha,global,EFLX_LH_TOT_MEAN_global,25,EFLX_LH_TOT,mean,38.720502389767354,37.7635694220719,0.956932967695451
cp25_yr2000,global,EFLX_LH_TOT_MEAN_global,26,EFLX_LH_TOT,mean,39.14310235982346,38.291750909320314,0.8513514505031452
KCN,global,EFLX_LH_TOT_MEAN_global,27,EFLX_LH_TOT,mean,38.65095520812979,37.85183495073265,0.799120257397135
fnps,global,EFLX_LH_TOT_MEAN_global,28,EFLX_LH_TOT,mean,38.64589970352383,37.85914463295117,0.78675507057266
baseflow_scalar,global,EFLX_LH_TOT_MEAN_global,29,EFLX_LH_TOT,mean,38.80902344450915,38.04390960581772,0.765113838691434
vcmaxse_sf,global,EFLX_LH_TOT_MEAN_global,30,EFLX_LH_TOT,mean,38.74663221487691,38.02876808451852,0.717864130358393
stem_leaf,global,EFLX_LH_TOT_MEAN_global,31,EFLX_LH_TOT,mean,38.85310559278499,38.140460870311045,0.7126447224739465
lmrha,global,EFLX_LH_TOT_MEAN_global,32,EFLX_LH_TOT,mean,38.01889542340702,38.70121713985393,0.6823217164469142
kn_nonmyc,global,EFLX_LH_TOT_MEAN_global,33,EFLX_LH_TOT,mean,38.65801175333385,37.99682915404476,0.6611825992890914
tpuha,global,EFLX_LH_TOT_MEAN_global,34,EFLX_LH_TOT,mean,38.69626489979141,38.05954244820646,0.6367224515849514
interception_fraction,global,EFLX_LH_TOT_MEAN_global,35,EFLX_LH_TOT,mean,37.84566687648048,38.481535565379936,0.6358686888994569
