param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
csol_sand,global,EFLX_LH_TOT_MEAN_global,1,EFLX_LH_TOT,mean,28.720088046727454,42.657291815259555,13.9372037685321
kmax,global,EFLX_LH_TOT_MEAN_global,2,EFLX_LH_TOT,mean,37.81120092184516,44.82028341714074,7.00908249529558
fff,global,EFLX_LH_TOT_MEAN_global,3,EFLX_LH_TOT,mean,37.60141939501763,44.31195050618677,6.710531111169139
medlynslope,global,EFLX_LH_TOT_MEAN_global,4,EFLX_LH_TOT,mean,39.786739974478294,44.92546053152765,5.1387205570493535
medlynintercept,global,EFLX_LH_TOT_MEAN_global,5,EFLX_LH_TOT,mean,42.630324348770465,47.31971664302446,4.689392294253992
liq_canopy_storage_scalar,global,EFLX_LH_TOT_MEAN_global,6,EFLX_LH_TOT,mean,42.146636505042814,46.779385223229596,4.632748718186782
maximum_leaf_wetted_fraction,global,EFLX_LH_TOT_MEAN_global,7,EFLX_LH_TOT,mean,40.22359894550806,44.660939396585164,4.437340451077105
krmax,global,EFLX_LH_TOT_MEAN_global,8,EFLX_LH_TOT,mean,40.33578768644874,44.265579496588586,3.9297918101398466
jmaxb0,global,EFLX_LH_TOT_MEAN_global,9,EFLX_LH_TOT,mean,40.81446298562888,44.11333147675055,3.2988684911216737
tpuse_sf,global,EFLX_LH_TOT_MEAN_global,10,EFLX_LH_TOT,mean,42.59230347973833,39.519565177966996,3.072738301771331
leafcn,global,EFLX_LH_TOT_MEAN_global,11,EFLX_LH_TOT,mean,44.03688093685044,41.03137839076041,3.005502546090028
wc2wjb0,global,EFLX_LH_TOT_MEAN_global,12,EFLX_LH_TOT,mean,41.46093129212791,44.384465398413305,2.923534106285395
psi50,global,EFLX_LH_TOT_MEAN_global,13,EFLX_LH_TOT,mean,40.89615405328046,43.716825300997236,2.820671247716774
frac_sat_soil_dsl_init,global,EFLX_LH_TOT_MEAN_global,14,EFLX_LH_TOT,mean,44.5666507040061,41.96188873441724,2.604761969588857
sand_pf,global,EFLX_LH_TOT_MEAN_global,15,EFLX_LH_TOT,mean,43.71784909831517,41.219574174508075,2.498274923807095
kcha,global,EFLX_LH_TOT_MEAN_global,16,EFLX_LH_TOT,mean,43.41315154021367,40.97886062331945,2.43429091689422
cv,global,EFLX_LH_TOT_MEAN_global,17,EFLX_LH_TOT,mean,41.297166346569874,43.71514606083208,2.4179797142622093
jmaxb1,global,EFLX_LH_TOT_MEAN_global,18,EFLX_LH_TOT,mean,40.96134154039422,43.308152535338856,2.346810994944633
theta_cj,global,EFLX_LH_TOT_MEAN_global,19,EFLX_LH_TOT,mean,40.88586707411919,43.18859308849045,2.3027260143712596
d_max,global,EFLX_LH_TOT_MEAN_global,20,EFLX_LH_TOT,mean,43.17133360158249,40.873856202928096,2.2974773986543937
vcmaxhd,global,EFLX_LH_TOT_MEAN_global,21,EFLX_LH_TOT,mean,41.138908441296024,43.262060400943554,2.1231519596475295
dleaf,global,EFLX_LH_TOT_MEAN_global,22,EFLX_LH_TOT,mean,44.49297001048778,42.61501339286794,1.8779566176198443
nstem,global,EFLX_LH_TOT_MEAN_global,23,EFLX_LH_TOT,mean,42.024421999610524,43.70284771334459,1.6784257137340646
lmr_intercept_atkin,global,EFLX_LH_TOT_MEAN_global,24,EFLX_LH_TOT,mean,43.33322252679673,41.68991150322688,1.6433110235698507
vcmaxha,global,EFLX_LH_TOT_MEAN_global,25,EFLX_LH_TOT,mean,41.564258929926,43.166874408074385,1.6026154781483868
FUN_fracfixers,global,EFLX_LH_TOT_MEAN_global,26,EFLX_LH_TOT,mean,41.953754563990834,43.49073744868459,1.5369828846937565
vcmaxse_sf,global,EFLX_LH_TOT_MEAN_global,27,EFLX_LH_TOT,mean,43.26257370164061,41.75766764270909,1.5049060589315246
leaf_long,global,EFLX_LH_TOT_MEAN_global,28,EFLX_LH_TOT,mean,41.841793468555935,43.184266819320214,1.3424733507642799
cpha,global,EFLX_LH_TOT_MEAN_global,29,EFLX_LH_TOT,mean,43.030462007535185,41.83849572034983,1.1919662871853518
tpu25ratio,global,EFLX_LH_TOT_MEAN_global,30,EFLX_LH_TOT,mean,41.77758908510096,42.92067558497951,1.1430864998785495
jmaxhd,global,EFLX_LH_TOT_MEAN_global,31,EFLX_LH_TOT,mean,41.58709321063377,42.671991416568744,1.0848982059349765
cp25_yr2000,global,EFLX_LH_TOT_MEAN_global,32,EFLX_LH_TOT,mean,43.43261441902188,42.44078987020596,0.9918245488159201
KCN,global,EFLX_LH_TOT_MEAN_global,33,EFLX_LH_TOT,mean,42.792814181807486,41.88992807750192,0.9028861043055656
jmaxse_sf,global,EFLX_LH_TOT_MEAN_global,34,EFLX_LH_TOT,mean,42.67326187065949,41.7769674346745,0.8962944359849843
fnps,global,EFLX_LH_TOT_MEAN_global,35,EFLX_LH_TOT,mean,42.81496625195396,42.010422863093495,0.8045433888604663
interception_fraction,global,EFLX_LH_TOT_MEAN_global,36,EFLX_LH_TOT,mean,41.944531155822666,42.660117170164895,0.7155860143422288
baseflow_scalar,global,EFLX_LH_TOT_MEAN_global,37,EFLX_LH_TOT,mean,42.96988267389828,42.265528444072814,0.7043542298254692
stem_leaf,global,EFLX_LH_TOT_MEAN_global,38,EFLX_LH_TOT,mean,42.98472231263177,42.339424392355,0.6452979202767679
lmrse,global,EFLX_LH_TOT_MEAN_global,39,EFLX_LH_TOT,mean,41.97669466135833,42.60966234232835,0.6329676809700189
kn_nonmyc,global,EFLX_LH_TOT_MEAN_global,40,EFLX_LH_TOT,mean,42.78560544631392,42.15754456600844,0.6280608803054832
grperc,global,EFLX_LH_TOT_MEAN_global,41,EFLX_LH_TOT,mean,42.781698948085314,42.208278606895526,0.573420341189788
theta_psii,global,EFLX_LH_TOT_MEAN_global,42,EFLX_LH_TOT,mean,42.4791214551346,43.050486332913714,0.5713648777791107
lmrhd,global,EFLX_LH_TOT_MEAN_global,43,EFLX_LH_TOT,mean,42.48676481415548,41.97546620978565,0.5112986043698271
q10_mr,global,EFLX_LH_TOT_MEAN_global,44,EFLX_LH_TOT,mean,42.594466424912625,42.08762632650198,0.5068400984106418
rootprof_beta,global,EFLX_LH_TOT_MEAN_global,45,EFLX_LH_TOT,mean,42.358085239099054,42.86488984574965,0.5068046066505971
frootcn,global,EFLX_LH_TOT_MEAN_global,46,EFLX_LH_TOT,mean,42.35576608016038,42.83838926111993,0.4826231809595498
z0mr,global,EFLX_LH_TOT_MEAN_global,47,EFLX_LH_TOT,mean,42.37207996621383,42.85341263770152,0.4813326714876851
clay_pf,global,EFLX_LH_TOT_MEAN_global,48,EFLX_LH_TOT,mean,42.32870813531069,42.75558058400846,0.42687244869777174
tpuha,global,EFLX_LH_TOT_MEAN_global,49,EFLX_LH_TOT,mean,42.79806623902893,42.37245305092669,0.4256131881022398
taulnir,global,EFLX_LH_TOT_MEAN_global,50,EFLX_LH_TOT,mean,42.82665224123777,42.40770986967802,0.41894237155974423
freelivfix_slope_wet,global,EFLX_LH_TOT_MEAN_global,51,EFLX_LH_TOT,mean,42.515661174695296,42.92278384358956,0.4071226688942673
froot_leaf,global,EFLX_LH_TOT_MEAN_global,52,EFLX_LH_TOT,mean,42.80086458633413,42.41069383113389,0.3901707552002378
k_nitr_max_perday,global,EFLX_LH_TOT_MEAN_global,53,EFLX_LH_TOT,mean,42.837196883539264,42.48518690479479,0.35200997874447637
lmrha,global,EFLX_LH_TOT_MEAN_global,54,EFLX_LH_TOT,mean,42.33663943176034,42.68507967865914,0.3484402468988037
fsr_pft,global,EFLX_LH_TOT_MEAN_global,55,EFLX_LH_TOT,mean,42.82686671282049,42.48359948593672,0.34326722688376776
fd_pft,global,EFLX_LH_TOT_MEAN_global,56,EFLX_LH_TOT,mean,42.82606239868515,42.48368031189746,0.3423820867876941
rholnir,global,EFLX_LH_TOT_MEAN_global,57,EFLX_LH_TOT,mean,42.75202244609401,42.419372089560476,0.33265035653353436
xl,global,EFLX_LH_TOT_MEAN_global,58,EFLX_LH_TOT,mean,42.83247868835677,42.50151783324527,0.3309608551114991
csoilc,global,EFLX_LH_TOT_MEAN_global,59,EFLX_LH_TOT,mean,42.56932754547567,42.892385586343096,0.32305804086742285
koha,global,EFLX_LH_TOT_MEAN_global,60,EFLX_LH_TOT,mean,42.45885706616499,42.770620989128666,0.31176392296367794
zbedrock_sf,global,EFLX_LH_TOT_MEAN_global,61,EFLX_LH_TOT,mean,42.48855280711271,42.78929685251195,0.3007440453992416
theta_ip,global,EFLX_LH_TOT_MEAN_global,62,EFLX_LH_TOT,mean,42.660117170164895,42.93220230942485,0.27208513925995703
rholvis,global,EFLX_LH_TOT_MEAN_global,63,EFLX_LH_TOT,mean,42.517002608466,42.76073649575002,0.2437338872840158
br_root,global,EFLX_LH_TOT_MEAN_global,64,EFLX_LH_TOT,mean,42.765466757316375,42.52698762864871,0.23847912866766308
jmaxha,global,EFLX_LH_TOT_MEAN_global,65,EFLX_LH_TOT,mean,42.62802143432077,42.39970289093104,0.228318543389733
minpsi_hr,global,EFLX_LH_TOT_MEAN_global,66,EFLX_LH_TOT,mean,42.75403699119892,42.53584198509403,0.2181950061048923
r_mort,global,EFLX_LH_TOT_MEAN_global,67,EFLX_LH_TOT,mean,42.54228866575234,42.74042333569538,0.19813466994304463
decomp_depth_efolding,global,EFLX_LH_TOT_MEAN_global,68,EFLX_LH_TOT,mean,42.47487133091366,42.660117170164895,0.1852458392512375
maxpsi_hr,global,EFLX_LH_TOT_MEAN_global,69,EFLX_LH_TOT,mean,42.83754375762663,42.660117170164895,0.17742658746173134
slatop,global,EFLX_LH_TOT_MEAN_global,70,EFLX_LH_TOT,mean,42.53756096845764,42.71458146006802,0.17702049161037792
slopebeta,global,EFLX_LH_TOT_MEAN_global,71,EFLX_LH_TOT,mean,42.59922059932794,42.77386891757062,0.17464831824267435
tpuhd,global,EFLX_LH_TOT_MEAN_global,72,EFLX_LH_TOT,mean,42.7644090795163,42.591705006653044,0.1727040728632545
slopemax,global,EFLX_LH_TOT_MEAN_global,73,EFLX_LH_TOT,mean,42.55385089390834,42.71155006352696,0.15769916961861696
taulvis,global,EFLX_LH_TOT_MEAN_global,74,EFLX_LH_TOT,mean,42.57970837458439,42.73145947871944,0.15175110413504456
rstem,global,EFLX_LH_TOT_MEAN_global,75,EFLX_LH_TOT,mean,42.704896431697264,42.56696246967873,0.13793396201853625
pot_hmn_ign_counts_alpha,global,EFLX_LH_TOT_MEAN_global,76,EFLX_LH_TOT,mean,42.715098199543704,42.57942042218605,0.13567777735765674
ufuel,global,EFLX_LH_TOT_MEAN_global,77,EFLX_LH_TOT,mean,42.57811994173499,42.7078780358691,0.129758094134111
fbw,global,EFLX_LH_TOT_MEAN_global,78,EFLX_LH_TOT,mean,42.54700191156557,42.67233082317934,0.1253289116137637
displar,global,EFLX_LH_TOT_MEAN_global,79,EFLX_LH_TOT,mean,42.59497819734077,42.71902749984794,0.12404930250716717
denitrif_respiration_coefficient,global,EFLX_LH_TOT_MEAN_global,80,EFLX_LH_TOT,mean,42.72565888388367,42.60881576992283,0.11684311396084013
prh30,global,EFLX_LH_TOT_MEAN_global,81,EFLX_LH_TOT,mean,42.563771114654955,42.679934817122714,0.11616370246775887
upplim_destruct_metamorph,global,EFLX_LH_TOT_MEAN_global,82,EFLX_LH_TOT,mean,42.72607115817564,42.61088264940164,0.1151885087740041
relhExp,global,EFLX_LH_TOT_MEAN_global,83,EFLX_LH_TOT,mean,42.5681091213317,42.68126779942866,0.11315867809695845
om_frac_sf,global,EFLX_LH_TOT_MEAN_global,84,EFLX_LH_TOT,mean,42.59974851536632,42.710320820371635,0.1105723050053129
kc_nonmyc,global,EFLX_LH_TOT_MEAN_global,85,EFLX_LH_TOT,mean,42.69295126667045,42.5834060505157,0.10954521615474988
ck,global,EFLX_LH_TOT_MEAN_global,86,EFLX_LH_TOT,mean,42.58278088155949,42.68915596821028,0.10637508665078599
tau_l2_l3,global,EFLX_LH_TOT_MEAN_global,87,EFLX_LH_TOT,mean,42.678470969497226,42.57271557813418,0.10575539136304712
rh_low,global,EFLX_LH_TOT_MEAN_global,88,EFLX_LH_TOT,mean,42.70687781130906,42.609481672760566,0.09739613854849694
zsno,global,EFLX_LH_TOT_MEAN_global,89,EFLX_LH_TOT,mean,42.725543559990676,42.63581195761042,0.08973160238025457
rhosnir,global,EFLX_LH_TOT_MEAN_global,90,EFLX_LH_TOT,mean,42.69795864504736,42.61138767409393,0.08657097095342436
croot_stem,global,EFLX_LH_TOT_MEAN_global,91,EFLX_LH_TOT,mean,42.68712775077759,42.60126732107506,0.08586042970252805
jmax25top_sf,global,EFLX_LH_TOT_MEAN_global,92,EFLX_LH_TOT,mean,42.60111304667633,42.686627288195275,0.08551424151894338
tau_s1,global,EFLX_LH_TOT_MEAN_global,93,EFLX_LH_TOT,mean,42.67633601041189,42.59104528534857,0.08529072506331659
pc,global,EFLX_LH_TOT_MEAN_global,94,EFLX_LH_TOT,mean,42.660117170164895,42.74038345557422,0.08026628540932279
cc_other,global,EFLX_LH_TOT_MEAN_global,95,EFLX_LH_TOT,mean,42.68586954263229,42.60849779017566,0.07737175245662797
ko25_coef,global,EFLX_LH_TOT_MEAN_global,96,EFLX_LH_TOT,mean,42.68720963282335,42.61423903866573,0.07297059415761709
e_ice,global,EFLX_LH_TOT_MEAN_global,97,EFLX_LH_TOT,mean,42.695265980718986,42.62264154183448,0.0726244388845032
lwtop_ann,global,EFLX_LH_TOT_MEAN_global,98,EFLX_LH_TOT,mean,42.604881112863254,42.67724368112595,0.07236256826269738
n_baseflow,global,EFLX_LH_TOT_MEAN_global,99,EFLX_LH_TOT,mean,42.660117170164895,42.58977816290974,0.07033900725515707
ndays_off,global,EFLX_LH_TOT_MEAN_global,100,EFLX_LH_TOT,mean,42.626108065277975,42.692233662163595,0.06612559688561959
br_mr,global,EFLX_LH_TOT_MEAN_global,101,EFLX_LH_TOT,mean,42.67915210349268,42.61660845259261,0.06254365090007497
snw_rds_refrz,global,EFLX_LH_TOT_MEAN_global,102,EFLX_LH_TOT,mean,42.62515134343599,42.684122088102946,0.05897074466695784
fun_cn_flex_b,global,EFLX_LH_TOT_MEAN_global,103,EFLX_LH_TOT,mean,42.626806424341446,42.685416968287605,0.058610543946159055
rh_hgh,global,EFLX_LH_TOT_MEAN_global,104,EFLX_LH_TOT,mean,42.702004044291975,42.64399919180648,0.05800485248549592
denitrif_nitrateconc_exponent,global,EFLX_LH_TOT_MEAN_global,105,EFLX_LH_TOT,mean,42.65149793351283,42.70507247885056,0.05357454533773165
wind_min,global,EFLX_LH_TOT_MEAN_global,106,EFLX_LH_TOT,mean,42.633239472501046,42.684820172572266,0.051580700071220065
tau_cwd,global,EFLX_LH_TOT_MEAN_global,107,EFLX_LH_TOT,mean,42.67740655196433,42.6279801504564,0.04942640150792954
tau_l1,global,EFLX_LH_TOT_MEAN_global,108,EFLX_LH_TOT,mean,42.67880175831715,42.634110019247345,0.044691739069804726
kc25_coef,global,EFLX_LH_TOT_MEAN_global,109,EFLX_LH_TOT,mean,42.68003224233462,42.636029945300585,0.04400229703403369
zetamaxstable,global,EFLX_LH_TOT_MEAN_global,110,EFLX_LH_TOT,mean,42.68661639164058,42.647805460896514,0.038810930744062944
ndays_on,global,EFLX_LH_TOT_MEAN_global,111,EFLX_LH_TOT,mean,42.67699114754433,42.63953913859437,0.037452008949955484
ignition_efficiency,global,EFLX_LH_TOT_MEAN_global,112,EFLX_LH_TOT,mean,42.67272682895624,42.63549221374514,0.03723461521110494
ekn_active,global,EFLX_LH_TOT_MEAN_global,113,EFLX_LH_TOT,mean,42.63210520388012,42.669331862980265,0.037226659100142
cc_dstem,global,EFLX_LH_TOT_MEAN_global,114,EFLX_LH_TOT,mean,42.63257759681385,42.66441022399813,0.03183262718427926
rhosvis,global,EFLX_LH_TOT_MEAN_global,115,EFLX_LH_TOT,mean,42.67385763993077,42.64258954362671,0.03126809630406058
